Gene Symbol,Gene ID (HGNC),Disease Label,Disease ID (MONDO),MOI,SOP,Classification,Online Report_x,Classification Date,GCEP,Gene/Region,HGNC/ISCA,GRCh37,GRCh38,Haploinsufficiency,Triplosensitivity,Online Report_y,Date,Protein Name
RINT1,HGNC:21876,familial ovarian cancer,MONDO:0016248,AD,SOP4,No Known Disease Relationship,https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_8703,2016-09-14T00:00:00,Breast/Ovarian Cancer Gene Curation Expert Panel,RINT1,HGNC:21876,chr7:105172648-105208124,chr7:105532201-105567677,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=RINT1&subject=,2024-07-10T14:06:47Z,Not Found
LRP2,HGNC:6694,congenital heart disease,MONDO:0005453,AR,SOP11,No Known Disease Relationship,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_291857b3-399a-42fa-86f7-d4077f97accd-2024-09-09T160000.000Z,2024-09-09T16:00:00.000Z,Congenital Heart Disease Gene Curation Expert Panel,LRP2,HGNC:6694,chr2:169983619-170219044,chr2:169127109-169362534,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=LRP2&subject=,2019-04-24T16:46:35Z,Not Found
GEN1,HGNC:26881,familial ovarian cancer,MONDO:0016248,AD,SOP4,No Known Disease Relationship,https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_8692,2017-01-11T00:00:00,Breast/Ovarian Cancer Gene Curation Expert Panel,GEN1,HGNC:26881,chr2:17935136-17970213,chr2:17753278-17788946,Dosage Sensitivity Unlikely,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=GEN1&subject=,2021-02-02T19:39:52Z,Not Found
HBA1,HGNC:4823,"erythrocytosis, familial, 7",MONDO:0054802,AD,SOP10,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_df23db1a-3b2f-497f-87c4-556c51e7bdd6-2023-10-25T160000.000Z,2023-10-25T16:00:00.000Z,General Gene Curation Expert Panel,HBA1,HGNC:4823,chr16:226679-227521,chr16:176680-177522,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=HBA1&subject=,2012-04-19T22:15:21Z,Not Found
GLUL,HGNC:4341,congenital brain dysgenesis due to glutamine synthetase deficiency,MONDO:0012393,AR,SOP11,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d71d7866-437d-48bd-8a98-21e67abdd917-2024-12-13T170000.000Z,2024-12-13T17:00:00.000Z,Aminoacidopathy Gene Curation Expert Panel,GLUL,HGNC:4341,chr1:182347233-182360925,chr1:182378098-182391790,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=GLUL&subject=,2015-06-04T18:40:28Z,Not Found
CACNA1C,HGNC:1390,long QT syndrome,MONDO:0002442,AD,SOP7,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c496551d-c7a7-4e49-ad41-8cfd49840dc1-2020-04-24T160000.000Z,2020-04-24T16:00:00.000Z,Long QT Syndrome Gene Curation Expert Panel,CACNA1C,HGNC:1390,chr12:2162153-2807116,chr12:1970780-2697950,Little Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=CACNA1C&subject=,2016-03-24T19:23:05Z,Not Found
COL1A1,HGNC:2197,"Ehlers-Danlos syndrome, classic type, 1",MONDO:0019567,AD,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_35866dc4-e7a2-42c8-801c-019214666e8f-2023-09-28T160000.000Z,2023-09-28T16:00:00.000Z,Skeletal Disorders Gene Curation Expert Panel,COL1A1,HGNC:2197,chr17:48261462-48278992,chr17:50184101-50201631,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=COL1A1&subject=,2012-08-23T19:09:32Z,Not Found
NSDHL,HGNC:13398,CK syndrome,MONDO:0010441,XL,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d94406f0-a459-47ed-aabc-80c7b6be9293-2021-01-20T170000.000Z,2021-01-20T17:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,NSDHL,HGNC:13398,chrX:151999607-152038273,chrX:152831063-152869729,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=NSDHL&subject=,2019-09-25T16:57:27Z,Not Found
CA8,HGNC:1382,cerebellar ataxia,MONDO:0000437,AR,SOP10,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a0800c48-e3b1-4cb2-bbd1-4d649e506ebd-2024-01-16T170000.000Z,2024-01-16T17:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,CA8,HGNC:1382,chr8:61097971-61193959,chr8:60185412-60281400,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=CA8&subject=,2016-08-22T17:46:37Z,Not Found
C19orf12,HGNC:25443,neurodegeneration with brain iron accumulation 4,MONDO:0013674,AD,SOP10,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c78e8a8a-49db-40f5-96a3-d126a3834976-2023-02-28T170000.000Z,2023-02-28T17:00:00.000Z,Syndromic Disorders Gene Curation Expert Panel,C19orf12,HGNC:25443,chr19:30189793-30206696,chr19:29698886-29715789,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=C19orf12&subject=,2016-08-22T17:46:34Z,Not Found
GDI1,HGNC:4226,non-syndromic X-linked intellectual disability,MONDO:0019181,XL,SOP10,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_8afc42b0-6c5e-460b-87d1-035c051fe7ca-2023-04-27T060000.000Z,2023-04-27T06:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,GDI1,HGNC:4226,chrX:153665500-153671814,chrX:154437154-154443467,Little Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=GDI1&subject=,2022-06-22T16:54:52Z,Not Found
EDNRB,HGNC:3180,Waardenburg syndrome type 4A,MONDO:0010192,AR,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d7abbd45-7915-437b-849b-dea876bfc2f5-2023-06-27T160000.000Z,2023-06-27T16:00:00.000Z,Hearing Loss Gene Curation Expert Panel,EDNRB,HGNC:3180,chr13:78469616-78549662,chr13:77895481-77975527,Little Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=EDNRB&subject=,2022-02-07T19:56:02Z,Not Found
NLGN3,HGNC:14289,X-linked complex neurodevelopmental disorder,MONDO:0100148,XL,SOP5,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b6e7e531-093b-4216-8c56-0c94e63c2811-2018-08-15T040000.000Z,2018-08-15T04:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,NLGN3,HGNC:14289,chrX:70364691-70391051,chrX:71144841-71175307,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=NLGN3&subject=,2012-07-25T14:56:36Z,Not Found
FGFR1,HGNC:3688,Hartsfield-Bixler-Demyer syndrome,MONDO:0014196,AD,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ec5034c6-70cb-4ba3-bbb9-f65f6cad393d-2021-03-16T235509.401Z,2021-03-16T23:55:09.401Z,Craniofacial Malformations Gene Curation Expert Panel,FGFR1,HGNC:3688,chr8:38268661-38326153,chr8:38411143-38468635,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=FGFR1&subject=,2021-04-05T15:54:15Z,Not Found
TNNI3,HGNC:11947,dilated cardiomyopathy,MONDO:0005021,AD,SOP7,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_668087ea-0d2f-42c2-a291-f73400d34023-2020-10-09T160000.000Z,2020-10-09T16:00:00.000Z,Dilated Cardiomyopathy Gene Curation Expert Panel,TNNI3,HGNC:11947,chr19:55663135-55669100,chr19:55151767-55157732,Little Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=TNNI3&subject=,2023-05-25T13:36:35Z,Not Found
BTD,HGNC:1122,Leigh syndrome,MONDO:0009723,AR,SOP7,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_74599afe-02f9-4225-9e50-63306f04a552-2021-06-14T140327.018Z,2021-06-14T14:03:27.018Z,Mitochondrial Diseases Gene Curation Expert Panel,BTD,HGNC:1122,chr3:15642859-15764023,chr3:15601361-15722516,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=BTD&subject=,2015-05-21T13:12:18Z,Not Found
CSTB,HGNC:2482,developmental and epileptic encephalopathy,MONDO:0100062,AR,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_accafcd4-ba3c-4049-9285-1de877d256ec-2020-12-01T060000.000Z,2020-12-01T06:00:00.000Z,Epilepsy Gene Curation Expert Panel,CSTB,HGNC:2482,chr21:45193831-45196189,chr21:43773950-43776308,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=CSTB&subject=,2016-08-22T17:47:33Z,Not Found
FARS2,HGNC:21062,Leigh syndrome,MONDO:0009723,AR,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_2cf7594a-d934-4b6c-8052-94066d608c5a-2019-11-25T144756.827Z,2019-11-25T14:47:56.827Z,Mitochondrial Diseases Gene Curation Expert Panel,FARS2,HGNC:21062,chr6:5261240-5771816,chr6:5249934-5771583,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=FARS2&subject=,2016-08-22T17:48:31Z,Not Found
DDOST,HGNC:2728,DDOST-congenital disorder of glycosylation,MONDO:0013789,AR,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e0605b51-70c5-42ee-81b5-d45bb0b1fdab-2023-11-15T170000.000Z,2023-11-15T17:00:00.000Z,Congenital Disorders of Glycosylation Gene Curation Expert Panel,DDOST,HGNC:2728,chr1:20978270-20987862,chr1:20651777-20661369,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=DDOST&subject=,2016-08-22T17:47:48Z,Not Found
BPNT2,HGNC:26019,"chondrodysplasia with joint dislocations, gPAPP type",MONDO:0013561,AR,SOP10,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f0edef29-df91-4320-b66d-4cc6a4ec3f94-2024-05-16T160000.000Z,2024-05-16T16:00:00.000Z,Congenital Disorders of Glycosylation Gene Curation Expert Panel,BPNT2,HGNC:26019,chr8:57870490-57906426,chr8:56957931-56993867,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=BPNT2&subject=,2016-08-22T17:49:31Z,Not Found
COL1A2,HGNC:2198,combined osteogenesis imperfecta and Ehlers-Danlos syndrome 2,MONDO:0030855,AD,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e8dc6fb4-069c-456d-88c0-e7837c819d9d-2023-09-28T160000.000Z,2023-09-28T16:00:00.000Z,Skeletal Disorders Gene Curation Expert Panel,COL1A2,HGNC:2198,chr7:94024207-94060539,chr7:94394895-94431227,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=COL1A2&subject=,2012-10-12T13:56:57Z,Not Found
HBA1,HGNC:4823,unstable hemoglobin disease,MONDO:0020459,AD,SOP10,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b58582d7-d863-4179-8e4d-76b8e70adde4-2023-11-22T170000.000Z,2023-11-22T17:00:00.000Z,General Gene Curation Expert Panel,HBA1,HGNC:4823,chr16:226679-227521,chr16:176680-177522,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=HBA1&subject=,2012-04-19T22:15:21Z,Not Found
CACNA1S,HGNC:1397,"malignant hyperthermia, susceptibility to, 5",MONDO:0011163,AD,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_22fff996-ca2e-473d-8a57-d2b8ff022a92-2023-04-26T160000.000Z,2023-04-26T16:00:00.000Z,General Gene Curation Expert Panel,CACNA1S,HGNC:1397,chr1:201008640-201081554,chr1:201039512-201112426,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=CACNA1S&subject=,2016-01-18T18:42:13Z,Not Found
CALM1,HGNC:1442,catecholaminergic polymorphic ventricular tachycardia,MONDO:0017990,AD,SOP7,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1ca1d8df-10fa-48ef-aea4-fb4dc6564dd0-2021-06-17T160000.000Z,2021-06-17T16:00:00.000Z,Catecholaminergic Polymorphic Ventricular Tachycardia Gene Curation Expert Panel,CALM1,HGNC:1442,chr14:90862846-90874612,chr14:90396502-90408268,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=CALM1&subject=,2023-12-12T18:00:56Z,Not Found
EPS8,HGNC:3420,autosomal recessive nonsyndromic hearing loss 102,MONDO:0014428,AR,SOP7,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_7a6bd2bf-8ede-45cb-a1c1-65ee5221b440-2020-02-06T171614.553Z,2020-02-06T17:16:14.553Z,Hearing Loss Gene Curation Expert Panel,EPS8,HGNC:3420,chr12:15773068-15942322,chr12:15620134-15789388,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=EPS8&subject=,2018-02-07T15:18:57Z,Not Found
BRAF,HGNC:1097,Noonan syndrome,MONDO:0018997,AD,SOP5,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_47cf08d5-efc6-4d42-b031-a06619873161-2018-07-24T160000.000Z,2018-07-24T16:00:00.000Z,RASopathy Gene Curation Expert Panel,BRAF,HGNC:1097,chr7:140413128-140624729,chr7:140713328-140924929,Little Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=BRAF&subject=,2014-08-04T19:36:36Z,Not Found
NDUFA1,HGNC:7683,Leigh syndrome,MONDO:0009723,XL,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_497170a6-a042-46cb-9809-3c3094fcd05e-2019-05-20T184847.372Z,2019-05-20T18:48:47.372Z,Mitochondrial Diseases Gene Curation Expert Panel,NDUFA1,HGNC:7683,chrX:119005795-119010625,chrX:119871832-119876662,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=NDUFA1&subject=,2012-07-25T14:34:36Z,Not Found
NDUFA10,HGNC:7684,mitochondrial disease,MONDO:0044970,AR,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1abd1440-686c-4bc9-91fb-59f7191891dd-2023-11-06T050000.000Z,2023-11-06T05:00:00.000Z,Mitochondrial Diseases Gene Curation Expert Panel,NDUFA10,HGNC:7684,chr2:240831859-240964759,chr2:239892442-240025342,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=NDUFA10&subject=,2016-08-22T17:50:38Z,Not Found
ABAT,HGNC:23,developmental and epileptic encephalopathy,MONDO:0100062,AR,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3a5138ad-d4b8-4ea1-aa78-b5d1f07b2b82-2022-04-19T160000.000Z,2022-04-19T16:00:00.000Z,Epilepsy Gene Curation Expert Panel,ABAT,HGNC:23,chr16:8768474-8878427,chr16:8674617-8784570,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ABAT&subject=,2016-08-22T17:45:36Z,Not Found
NDUFAF1,HGNC:18828,mitochondrial disease,MONDO:0044970,AR,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_20bd44f6-360d-42ef-ba08-549773282d2e-2022-02-17T170000.000Z,2022-02-17T17:00:00.000Z,Mitochondrial Diseases Gene Curation Expert Panel,NDUFAF1,HGNC:18828,chr15:41679551-41694694,chr15:41387353-41403026,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=NDUFAF1&subject=,2016-08-22T17:50:39Z,Not Found
FOXE3,HGNC:3808,familial thoracic aortic aneurysm and aortic dissection,MONDO:0019625,AD,SOP4,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_8261,2016-06-15T00:00:00,Heritable Thoracic Aortic Aneurysm and Dissection Gene Curation Expert Panel,FOXE3,HGNC:3808,chr1:47881957-47883724,chr1:47416285-47418052,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=FOXE3&subject=,2017-12-13T22:12:23Z,Not Found
INPP5E,HGNC:21474,MORM syndrome,MONDO:0012423,AR,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a50bbd87-4308-4272-83fc-21274d283e63-2023-05-30T160000.000Z,2023-05-30T16:00:00.000Z,Syndromic Disorders Gene Curation Expert Panel,INPP5E,HGNC:21474,chr9:139323071-139334297,chr9:136428619-136439845,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=INPP5E&subject=,2016-08-22T17:49:32Z,Not Found
TBX20,HGNC:11598,congenital heart disease,MONDO:0005453,AD,SOP10,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_67706e90-ac03-4b96-94e2-4a561ced4a41-2024-05-07T160000.000Z,2024-05-07T16:00:00.000Z,Congenital Heart Disease Gene Curation Expert Panel,TBX20,HGNC:11598,chr7:35242042-35293711,chr7:35202430-35254100,Emerging Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=TBX20&subject=,2023-05-10T11:19:22Z,Not Found
ITGB3,HGNC:6156,platelet-type bleeding disorder 16,MONDO:0008552,AD,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_eda416fa-6e15-40df-bfd0-46a111e99ba0-2023-04-03T160000.000Z,2023-04-03T16:00:00.000Z,Hemostasis/Thrombosis Gene Curation Expert Panel,ITGB3,HGNC:6156,chr17:45331193-45391109,chr17:47253827-47313743,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ITGB3&subject=,2012-08-27T04:27:40Z,Not Found
COL2A1,HGNC:2200,"spondyloepiphyseal dysplasia, Stanescu type",MONDO:0014701,AD,SOP4,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_4843,2016-12-01T00:00:00,General Gene Curation Expert Panel,COL2A1,HGNC:2200,chr12:48366750-48398259,chr12:47972967-48006212,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=COL2A1&subject=,2020-07-29T19:10:10Z,Not Found
ACTB,HGNC:132,ACTB-associated syndromic thrombocytopenia,MONDO:0100433,AD,SOP10,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_9cee7fd2-09f7-41dc-9742-542917d856b0-2024-06-03T160000.000Z,2024-06-03T16:00:00.000Z,Hemostasis/Thrombosis Gene Curation Expert Panel,ACTB,HGNC:132,chr7:5566779-5570232,chr7:5527148-5530601,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ACTB&subject=,2022-02-08T17:17:21Z,Not Found
NDUFS7,HGNC:7714,Leigh syndrome,MONDO:0009723,AR,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b702a150-de60-429e-bb12-ba8cde1483e7-2019-11-25T160008.570Z,2019-11-25T16:00:08.570Z,Mitochondrial Diseases Gene Curation Expert Panel,NDUFS7,HGNC:7714,chr19:1383906-1395583,chr19:1383907-1395584,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=NDUFS7&subject=,2016-08-22T17:50:44Z,Not Found
NDUFS8,HGNC:7715,Leigh syndrome,MONDO:0009723,AR,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_01a27520-f92a-4b81-b63b-c15132c873be-2019-11-25T152406.734Z,2019-11-25T15:24:06.734Z,Mitochondrial Diseases Gene Curation Expert Panel,NDUFS8,HGNC:7715,chr11:67798148-67804111,chr11:68030681-68036644,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=NDUFS8&subject=,2016-08-22T17:50:44Z,Not Found
CASQ2,HGNC:1513,catecholaminergic polymorphic ventricular tachycardia,MONDO:0017990,AD,SOP7,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c778b145-fcfc-4252-8dd8-33f982b288e8-2021-01-20T170000.000Z,2021-01-20T17:00:00.000Z,Catecholaminergic Polymorphic Ventricular Tachycardia Gene Curation Expert Panel,CASQ2,HGNC:1513,chr1:116242642-116311335,chr1:115700021-115768714,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=CASQ2&subject=,2016-08-22T17:46:41Z,Not Found
COG1,HGNC:6545,COG1-congenital disorder of glycosylation,MONDO:0012637,AR,SOP10,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_6607c8c3-e293-49df-904d-da27aa8e0232-2024-01-03T170000.000Z,2024-01-03T17:00:00.000Z,Congenital Disorders of Glycosylation Gene Curation Expert Panel,COG1,HGNC:6545,chr17:71189194-71204646,chr17:73193055-73208507,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=COG1&subject=,2016-08-22T17:47:18Z,Not Found
